;Марка;Цена без НДС, руб./км;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x3x0,5kl5 690V;967465,4689;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x3x0,75kl5 690V;1873074,156;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x2,5kl5 690V;2807884,015;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x1,0kl5 690V;164936,0133;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x3x0,5kl5 690V;345744,0486;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x2x0,5kl5 690V;1304113,51;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x1,0kl5 690V;1243784,752;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 19x1,5kl5 690V;931939,2017;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x2x1,0kl5 690V;993906,6614;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 30x2x1,5kl5 690V;2914087,346;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x3x2,5kl5 690V;1197979,215;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x2,5kl5 690V;560565,9532;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 30x2x0,75kl5 690V;1576846,253;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x2x1,5kl5 690V;720656,0528;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x3x1,0kl5 690V;1242822,379;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x2,5kl5 690V;2072682,703;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x0,5kl5 690V;64076,97974;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 9x1,5kl5 690V;460737,0012;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x3x2,5kl5 690V;2795864,407;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x3x1,5kl5 690V;2621297,642;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x2x1,0kl5 690V;308339,8626;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x2x2,5kl5 690V;1586631,831;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 19x0,75kl5 690V;510668,6133;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x2x2,5kl5 690V;1282686,079;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x2x0,75kl5 690V;767215,7004;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x0,75kl5 690V;132502,1527;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x1,5kl5 690V;221627,0075;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x2x1,5kl5 690V;2633975,03;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x3x0,75kl5 690V;422955,3791;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x2x0,75kl5 690V;244221,4123;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 30x2x2,5kl5 690V;4632351,382;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x2x2,5kl5 690V;4181211,204;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x3x1,5kl5 690V;765272,1364;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x2,5kl5 690V;187017,8833;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x3x1,5kl5 690V;2340079,747;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x2x2,5kl5 690V;346966,2509;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x3x1,5kl5 690V;610905,5638;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x3x0,5kl5 690V;294831,5644;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x3x2,5kl5 690V;1425566,633;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 17x0,75kl5 690V;463721,6041;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x2x0,5kl5 690V;457854,7726;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x2x1,5kl5 690V;2352687,633;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x2x2,5kl5 690V;818312,6402;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x1,5kl5 690V;174960,9564;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x2,5kl5 690V;1097634,534;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x0,75kl5 690V;159839,8267;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x2x0,75kl5 690V;876203,7501;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x2x1,5kl5 690V;328263,5437;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x2x0,75kl5 690V;1936022,857;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x0,75kl5 690V;716264,2024;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x2x1,0kl5 690V;1646485,422;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 30x0,75kl5 690V;788991,0126;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x3x0,5kl5 690V;554018,6409;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x3x1,0kl5 690V;1047446,605;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x1,5kl5 690V;598597,7253;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x2x2,5kl5 690V;659674,1085;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x0,75kl5 690V;644498,9786;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x2x1,0kl5 690V;584082,7341;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x1,5kl5 690V;701233,4579;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x1,0kl5 690V;366129,8513;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x2x0,75kl5 690V;349703,5045;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x3x0,5kl5 690V;136799,3922;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x0,5kl5 690V;270685,0844;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x3x2,5kl5 690V;3270277,554;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x2x0,5kl5 690V;873202,6622;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x3x1,5kl5 690V;1482165,35;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x3x0,5kl5 690V;858831,7615;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x0,5kl5 690V;80606,56071;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x0,5kl5 690V;98312,35293;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x0,5kl5 690V;167211,2436;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x2x0,5kl5 690V;596142,7565;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x0,75kl5 690V;185562,6056;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x2,5kl5 690V;413756,7516;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x0,5kl5 690V;485472,422;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 19x1,0kl5 690V;661501,098;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x2x1,0kl5 690V;378049,149;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x2x0,75kl5 690V;1278563,664;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x3x0,75kl5 690V;808051,4279;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x3x0,5kl5 690V;654102,7548;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x2x0,75kl5 690V;298159,9454;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x2x2,5kl5 690V;5699526,525;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x3x2,5kl5 690V;961655,3155;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x3x2,5kl5 690V;727513,4852;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x2x2,5kl5 690V;2204672,297;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x2,5kl5 690V;260183,1562;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x0,75kl5 690V;288477,5521;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x3x0,75kl5 690V;343589,9379;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x2x1,0kl5 690V;716179,3204;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x0,75kl5 690V;958317,5495;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x2x1,0kl5 690V;2499778,505;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x2x1,0kl5 690V;241181,7037;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x1,5kl5 690V;271461,945;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x2x1,5kl5 690V;1201776,154;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 30x2x0,5kl5 690V;1073066,494;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x1,0kl5 690V;826647,2403;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x2x0,75kl5 690V;139152,7483;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x3x0,75kl5 690V;189140,6208;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x0,75kl5 690V;208630,2859;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x2x1,5kl5 690V;423842,5494;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x2x0,5kl5 690V;246389,3056;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x1,0kl5 690V;263326,6395;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x3x0,75kl5 690V;499123,4842;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x2x1,5kl5 690V;231145,5577;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x2,5kl5 690V;489153,3766;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x3x1,0kl5 690V;842670,2318;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x1,0kl5 690V;233220,5844;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x3x0,75kl5 690V;1123956,4;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x3x2,5kl5 690V;5554576,08;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x3x1,0kl5 690V;338533,797;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x3x1,0kl5 690V;238077,6273;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x2x0,5kl5 690V;280937,4523;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x3x1,0kl5 690V;546889,7335;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x0,75kl5 690V;106986,8495;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x1,0kl5 690V;297535,2091;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x3x1,0kl5 690V;437896,2789;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x3x1,0kl5 690V;1447330,496;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x3x2,5kl5 690V;1888677,381;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x1,0kl5 690V;428613,6048;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 19x2,5kl5 690V;1468252,222;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x3x1,0kl5 690V;646145,6891;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 9x2,5kl5 690V;714893,4382;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x2x1,5kl5 690V;1776275,651;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x1,0kl5 690V;99766,27936;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x2x0,5kl5 690V;103207,7709;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x0,5kl5 690V;116262,5954;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x2x2,5kl5 690V;1888364,043;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x2x0,75kl5 690V;400788,2094;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x2x1,5kl5 690V;3566355,127;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x2x1,0kl5 690V;1124446,357;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x3x1,5kl5 690V;1190094,428;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 17x2,5kl5 690V;1322890,289;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x3x1,5kl5 690V;907208,3995;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 9x1,0kl5 690V;332334,3903;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x1,5kl5 690V;1311963,73;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x2x0,75kl5 690V;1428237,823;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x2x1,5kl5 690V;1399886,504;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x1,0kl5 690V;920200,1584;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 27x2x0,5kl5 690V;973133,8902;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x2x1,5kl5 690V;529818,8733;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x0,5kl5 690V;653309,3601;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 30x1,0kl5 690V;1014857,328;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x3x1,0kl5 690V;1837108,837;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x1,0kl5 690V;199454,9243;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x1,5kl5 690V;362906,4241;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x0,5kl5 690V;438077,7863;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x3x1,0kl5 690V;2433760,639;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x3x2,5kl5 690V;498664,4581;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x1,5kl5 690V;1167929,445;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x2x2,5kl5 690V;1122483,827;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x2x0,5kl5 690V;383529,2576;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x3x0,5kl5 690V;1266523,124;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x2x2,5kl5 690V;2821714,3;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x2x0,75kl5 690V;192185,9309;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x1,5kl5 690V;410957,3905;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 9x0,5kl5 690V;186176,7041;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x0,75kl5 690V;336429,3625;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x2x0,5kl5 690V;663403,5108;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x2,5kl5 690V;942523,5797;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 12x3x1,5kl5 690V;1762999,838;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x2x0,75kl5 690V;560384,0772;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x3x2,5kl5 690V;4191257,546;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x2,5kl5 690V;335086,7777;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 37x1,5kl5 690V;1767961,811;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x2x0,5kl5 690V;528879,2015;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x2x0,75kl5 690V;977306,0793;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x2x2,5kl5 690V;501026,0199;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x2x0,5kl5 690V;315491,4953;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x2x1,5kl5 690V;625730,2822;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x0,75kl5 690V;388035,5696;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x2,5kl5 690V;636527,0986;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x2x0,75kl5 690V;458574,8322;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 8x3x0,5kl5 690V;446646,5918;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 7x2x1,0kl5 690V;517845,0349;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 5x2x0,5kl5 690V;211835,6802;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 14x3x0,5kl5 690V;759039,5385;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 18x2x1,0kl5 690V;1255516,253;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 4x3x0,5kl5 690V;241090,1147;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x2,5kl5 690V;797040,4288;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x3x0,75kl5 690V;267119,7217;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x2x2,5kl5 690V;3730070,658;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 17x1,5kl5 690V;842475,5314;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x2x1,5kl5 690V;1013595,867;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 2x0,75kl5 690V;82501,65235;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x3x1,0kl5 690V;1642487,935;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 24x3x1,5kl5 690V;3480167,14;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 3x3x1,5kl5 690V;468748,9514;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x2x2,5kl5 690V;2506965,467;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x3x2,5kl5 690V;3736447,42;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 6x1,5kl5 690V;318952,4937;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x0,5kl5 690V;204017,2019;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 9x0,75kl5 690V;262612,9183;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 10x1,5kl5 690V;508274,843;
15.07.2021;ATOMKIP-KUPsOfPng(A)-HF 16x2x1,5kl5 690V;1587814,7;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 4x2x1,5kl5 690V;414615,1038;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 37x1,5kl5 690V;1749386,783;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 7x2x0,5kl5 690V;272246,5936;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 24x2x0,5kl5 690V;855010,4016;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 24x3x0,75kl5 690V;1851137,335;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 3x3x2,5kl5 690V;717797,5076;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 37x2,5kl5 690V;2787185,193;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 18x3x1,5kl5 690V;2597668,586;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 6x1,0kl5 690V;226103,2239;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 7x2x2,5kl5 690V;1107838,601;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 16x2x0,75kl5 690V;858927,871;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 12x3x1,0kl5 690V;1224171,756;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 8x3x1,5kl5 690V;1175207,528;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 8x3x0,5kl5 690V;436922,2612;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 6x0,5kl5 690V;128351,1658;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 9x2,5kl5 690V;705262,0478;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 6x3x1,5kl5 690V;893966,7855;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 16x3x0,75kl5 690V;1255283,005;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 30x2x0,5kl5 690V;1053040,856;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 17x2,5kl5 690V;1308942,939;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 10x3x0,75kl5 690V;794535,5627;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 2x0,5kl5 690V;59447,04217;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 24x0,75kl5 690V;632389,0834;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 9x0,75kl5 690V;255196,1001;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 27x1,0kl5 690V;906116,3578;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 18x2x1,5kl5 690V;1754187,713;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 6x3x2,5kl5 690V;1410885,292;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 2x2x0,75kl5 690V;132918,3324;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 17x1,0kl5 690V;588316,8341;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 8x3x1,0kl5 690V;828606,0609;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 6x3x0,75kl5 690V;489399,1535;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 7x1,0kl5 690V;256209,3035;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 12x2x0,75kl5 690V;647702,9971;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 5x3x1,5kl5 690V;752921,5252;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 2x3x1,0kl5 690V;230773,0105;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 8x2x0,5kl5 690V;306318,1728;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 14x2x1,5kl5 690V;1380013,948;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 2x2x0,5kl5 690V;97511,85809;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 17x0,5kl5 690V;313282,9177;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 7x0,5kl5 690V;143521,7505;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 16x2x2,5kl5 690V;2483578,822;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 5x3x1,0kl5 690V;535224,9098;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 12x3x0,75kl5 690V;943308,5476;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 5x2x1,5kl5 690V;518236,745;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 12x2x2,5kl5 690V;1867798,035;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 30x1,0kl5 690V;1000297,182;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 19x0,75kl5 690V;501449,963;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 14x3x1,0kl5 690V;1427317,02;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 18x2x0,5kl5 690V;648996,348;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 5x0,75kl5 690V;153799,7427;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 10x3x1,0kl5 690V;1030170,726;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 37x2x1,5kl5 690V;3532906,024;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 24x1,5kl5 690V;1153369,273;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 27x2x0,5kl5 690V;954025,2482;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 27x2,5kl5 690V;2054107,651;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 6x2x0,75kl5 690V;340590,5206;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 18x2x1,0kl5 690V;1234726,677;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 12x0,5kl5 690V;228485,2015;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 37x2x2,5kl5 690V;5658270,638;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 4x2x0,5kl5 690V;167918,3559;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 24x2x0,75kl5 690V;1258079,615;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 12x2x1,0kl5 690V;838732,6659;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 3x0,75kl5 690V;101762,6889;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 10x2x1,0kl5 690V;701806,6017;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 7x1,5kl5 690V;355429,4392;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 27x2x1,5kl5 690V;2604820,734;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 4x3x2,5kl5 690V;949256,4776;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 19x1,5kl5 690V;919352,96;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 4x2x0,75kl5 690V;236430,45;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 5x3x0,75kl5 690V;413898,7048;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 10x0,75kl5 690V;280701,7973;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 14x3x1,5kl5 690V;2037082,536;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 10x2x2,5kl5 690V;1567582,643;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 24x3x0,5kl5 690V;1247047,831;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 7x0,75kl5 690V;202230,8722;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 10x3x0,5kl5 690V;541942,5511;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 7x2x1,5kl5 690V;707440,3087;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 3x3x1,5kl5 690V;459937,2188;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 10x0,5kl5 690V;196959,3694;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 24x0,5kl5 690V;428557,8111;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 5x3x0,5kl5 690V;286625,1349;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 37x2x0,5kl5 690V;1282254,741;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 27x0,75kl5 690V;703882,4637;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 12x2x0,5kl5 690V;445659,8234;
15.07.2021;ATOMKIP-KUPsOfVng(A)-LS 8x2x1,0kl5 690V;570935,043;
